work_id,author_id
https://openalex.org/W2168526937,https://openalex.org/A5037180728
https://openalex.org/W4292811746,https://openalex.org/A5077619229
https://openalex.org/W4292811746,https://openalex.org/A5076830952
https://openalex.org/W2132905138,https://openalex.org/A5052588458
https://openalex.org/W2752617332,https://openalex.org/A5068490503
https://openalex.org/W2752617332,https://openalex.org/A5000102021
https://openalex.org/W2007395042,https://openalex.org/A5019751186
https://openalex.org/W2007395042,https://openalex.org/A5062208820
https://openalex.org/W2058122340,https://openalex.org/A5072248970
https://openalex.org/W2058122340,https://openalex.org/A5058357018
https://openalex.org/W2058122340,https://openalex.org/A5088527376
https://openalex.org/W2058122340,https://openalex.org/A5024028137
https://openalex.org/W2058122340,https://openalex.org/A5035053309
https://openalex.org/W2058122340,https://openalex.org/A5072442751
https://openalex.org/W2058122340,https://openalex.org/A5076577191
https://openalex.org/W2058122340,https://openalex.org/A5001198014
https://openalex.org/W2106096361,https://openalex.org/A5046587712
https://openalex.org/W2106096361,https://openalex.org/A5021741190
https://openalex.org/W2106096361,https://openalex.org/A5022877976
https://openalex.org/W2106096361,https://openalex.org/A5081890911
https://openalex.org/W2036113194,https://openalex.org/A5082036603
https://openalex.org/W2036113194,https://openalex.org/A5042828879
https://openalex.org/W4211007335,https://openalex.org/A5079071970
https://openalex.org/W2097706568,https://openalex.org/A5052941366
https://openalex.org/W2097706568,https://openalex.org/A5109177049
https://openalex.org/W2167590372,https://openalex.org/A5112607389
https://openalex.org/W2101234009,https://openalex.org/A5105141183
https://openalex.org/W2101234009,https://openalex.org/A5074733625
https://openalex.org/W2101234009,https://openalex.org/A5018256474
https://openalex.org/W2101234009,https://openalex.org/A5027430303
https://openalex.org/W2101234009,https://openalex.org/A5026762833
https://openalex.org/W2101234009,https://openalex.org/A5112700874
https://openalex.org/W2101234009,https://openalex.org/A5049123454
https://openalex.org/W2101234009,https://openalex.org/A5088660184
https://openalex.org/W2101234009,https://openalex.org/A5103273436
https://openalex.org/W2101234009,https://openalex.org/A5087957070
https://openalex.org/W2101234009,https://openalex.org/A5038304150
https://openalex.org/W2101234009,https://openalex.org/A5034029772
https://openalex.org/W2101234009,https://openalex.org/A5023051838
https://openalex.org/W2101234009,https://openalex.org/A5050910015
https://openalex.org/W2101234009,https://openalex.org/A5107933380
https://openalex.org/W2101234009,https://openalex.org/A5007095962
https://openalex.org/W2117692326,https://openalex.org/A5007537368
https://openalex.org/W2117692326,https://openalex.org/A5012557712
https://openalex.org/W1522301498,https://openalex.org/A5024065815
https://openalex.org/W1522301498,https://openalex.org/A5012276327
https://openalex.org/W1686810756,https://openalex.org/A5004625775
https://openalex.org/W1686810756,https://openalex.org/A5057678172
