topic_id,work_id
https://openalex.org/T11027,https://openalex.org/W2168526937
https://openalex.org/T10725,https://openalex.org/W2168526937
https://openalex.org/T10314,https://openalex.org/W4292811746
https://openalex.org/T12137,https://openalex.org/W2752617332
https://openalex.org/T10127,https://openalex.org/W2752617332
https://openalex.org/T10047,https://openalex.org/W2752617332
https://openalex.org/T10002,https://openalex.org/W2007395042
https://openalex.org/T11177,https://openalex.org/W2007395042
https://openalex.org/T12044,https://openalex.org/W2007395042
https://openalex.org/T10083,https://openalex.org/W2058122340
https://openalex.org/T10074,https://openalex.org/W2058122340
https://openalex.org/T10956,https://openalex.org/W2058122340
https://openalex.org/T10826,https://openalex.org/W2106096361
https://openalex.org/T11542,https://openalex.org/W2106096361
https://openalex.org/T10467,https://openalex.org/W2106096361
https://openalex.org/T11414,https://openalex.org/W2036113194
https://openalex.org/T11177,https://openalex.org/W2036113194
https://openalex.org/T10299,https://openalex.org/W2036113194
https://openalex.org/T10820,https://openalex.org/W4211007335
https://openalex.org/T11671,https://openalex.org/W4211007335
https://openalex.org/T10050,https://openalex.org/W4211007335
https://openalex.org/T10012,https://openalex.org/W2097706568
https://openalex.org/T11354,https://openalex.org/W2097706568
https://openalex.org/T10015,https://openalex.org/W2097706568
https://openalex.org/T12557,https://openalex.org/W2167590372
https://openalex.org/T12613,https://openalex.org/W2167590372
https://openalex.org/T10939,https://openalex.org/W2167590372
https://openalex.org/T13650,https://openalex.org/W2101234009
https://openalex.org/T12535,https://openalex.org/W2101234009
https://openalex.org/T11512,https://openalex.org/W2101234009
https://openalex.org/T10631,https://openalex.org/W2117692326
https://openalex.org/T10269,https://openalex.org/W2117692326
https://openalex.org/T10336,https://openalex.org/W2117692326
https://openalex.org/T11612,https://openalex.org/W1522301498
https://openalex.org/T12101,https://openalex.org/W1522301498
https://openalex.org/T12676,https://openalex.org/W1522301498
https://openalex.org/T10531,https://openalex.org/W1686810756
https://openalex.org/T10036,https://openalex.org/W1686810756
https://openalex.org/T13114,https://openalex.org/W1686810756
https://openalex.org/T10002,https://openalex.org/W2230728100
https://openalex.org/T10382,https://openalex.org/W2230728100
https://openalex.org/T10913,https://openalex.org/W2230728100
https://openalex.org/T10556,https://openalex.org/W2106787323
https://openalex.org/T10552,https://openalex.org/W2106787323
https://openalex.org/T10146,https://openalex.org/W2106787323
https://openalex.org/T13297,https://openalex.org/W2298230951
https://openalex.org/T11016,https://openalex.org/W2101108802
https://openalex.org/T10521,https://openalex.org/W2101108802
https://openalex.org/T10602,https://openalex.org/W2101108802
https://openalex.org/T10301,https://openalex.org/W2163815564
https://openalex.org/T12859,https://openalex.org/W2167279371
https://openalex.org/T13937,https://openalex.org/W2167279371
https://openalex.org/T10015,https://openalex.org/W2167279371
https://openalex.org/T10044,https://openalex.org/W2029667189
https://openalex.org/T10492,https://openalex.org/W2029667189
https://openalex.org/T11162,https://openalex.org/W2029667189
https://openalex.org/T10015,https://openalex.org/W2108234281
https://openalex.org/T11048,https://openalex.org/W2108234281
https://openalex.org/T10434,https://openalex.org/W2108234281
https://openalex.org/T10206,https://openalex.org/W2125435699
https://openalex.org/T11116,https://openalex.org/W2125435699
https://openalex.org/T11744,https://openalex.org/W2125435699
https://openalex.org/T10206,https://openalex.org/W4294215472
https://openalex.org/T12664,https://openalex.org/W4294215472
https://openalex.org/T11744,https://openalex.org/W4294215472
https://openalex.org/T12859,https://openalex.org/W2099540110
https://openalex.org/T13937,https://openalex.org/W2099540110
https://openalex.org/T13114,https://openalex.org/W2099540110
https://openalex.org/T10467,https://openalex.org/W1987258130
https://openalex.org/T13748,https://openalex.org/W1987258130
https://openalex.org/T10207,https://openalex.org/W2114918609
https://openalex.org/T10725,https://openalex.org/W2114918609
https://openalex.org/T14285,https://openalex.org/W2114918609
https://openalex.org/T10191,https://openalex.org/W2151103935
https://openalex.org/T10627,https://openalex.org/W2151103935
https://openalex.org/T12549,https://openalex.org/W2151103935
https://openalex.org/T10068,https://openalex.org/W1791587663
https://openalex.org/T12028,https://openalex.org/W1791587663
https://openalex.org/T10609,https://openalex.org/W1791587663
https://openalex.org/T10627,https://openalex.org/W2108598243
https://openalex.org/T10824,https://openalex.org/W2108598243
https://openalex.org/T11714,https://openalex.org/W2108598243
https://openalex.org/T10015,https://openalex.org/W2103441770
https://openalex.org/T11269,https://openalex.org/W2103441770
https://openalex.org/T11247,https://openalex.org/W2103441770
https://openalex.org/T10015,https://openalex.org/W2131271579
https://openalex.org/T11791,https://openalex.org/W2131271579
https://openalex.org/T11970,https://openalex.org/W2131271579
https://openalex.org/T11083,https://openalex.org/W2112778345
https://openalex.org/T10853,https://openalex.org/W2112778345
https://openalex.org/T10023,https://openalex.org/W2112778345
https://openalex.org/T10467,https://openalex.org/W4235678817
https://openalex.org/T10050,https://openalex.org/W4235678817
https://openalex.org/T11871,https://openalex.org/W4235678817
https://openalex.org/T10002,https://openalex.org/W2086957099
https://openalex.org/T10382,https://openalex.org/W2086957099
https://openalex.org/T10913,https://openalex.org/W2086957099
https://openalex.org/T10100,https://openalex.org/W3023540311
https://openalex.org/T10181,https://openalex.org/W4385245566
https://openalex.org/T10028,https://openalex.org/W4385245566
https://openalex.org/T11714,https://openalex.org/W4385245566
https://openalex.org/T13447,https://openalex.org/W2135943618
https://openalex.org/T10826,https://openalex.org/W2087484885
https://openalex.org/T10182,https://openalex.org/W2087484885
https://openalex.org/T11577,https://openalex.org/W2087484885
https://openalex.org/T12880,https://openalex.org/W2329395632
https://openalex.org/T10820,https://openalex.org/W2912565176
https://openalex.org/T10601,https://openalex.org/W2112796928
https://openalex.org/T14339,https://openalex.org/W2112796928
https://openalex.org/T10320,https://openalex.org/W2112796928
https://openalex.org/T11584,https://openalex.org/W1968834637
https://openalex.org/T10908,https://openalex.org/W1968834637
https://openalex.org/T11667,https://openalex.org/W1968834637
https://openalex.org/T10118,https://openalex.org/W3001118548
https://openalex.org/T10041,https://openalex.org/W3001118548
https://openalex.org/T10976,https://openalex.org/W3001118548
